,key_0,type,size,age,gender,has_name,spay_neuter,intake_condition,pit_bull,intake_location,adopt_return,adopt_return_predict_proba,latitude,longitude
52,52,DOG,MED,4.0,Male,1,1,HEALTHY,1,SONOMA COUNTY,0,0.07853141,38.610732,-123.200051
53,53,DOG,PUPPY,2.0,Female,0,1,HEALTHY,0,SANTA ROSA,0,0.07128303,38.325442,-122.71081
54,54,DOG,MED,,Female,1,0,HEALTHY,0,SONOMA COUNTY,0,0.0069242385,38.280393,-122.464588
55,55,DOG,LARGE,10.0,Male,1,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.403734,-122.736775
56,56,DOG,PUPPY,2.0,Female,0,0,UNKNOWN,1,SONOMA COUNTY,0,0.0069242385,,
57,57,CAT,SMALL,4.0,Male,0,1,HEALTHY,0,SANTA ROSA,0,0.07840127,38.394388,-122.850998
58,58,CAT,KITTEN,5.0,Female,1,1,HEALTHY,0,OUT OF COUNTY,0,0.16138126,38.394388,-122.850998
59,59,CAT,SMALL,10.0,Female,0,1,HEALTHY,0,SANTA ROSA,0,0.08858873,38.510032,-122.996796
60,60,OTHER,SMALL,3.0,Female,0,0,UNTREATABLE,0,SONOMA COUNTY,0,0.0069242385,,
61,61,DOG,PUPPY,3.0,Female,1,1,HEALTHY,0,SANTA ROSA,0,0.095963046,38.491884,-122.90672
62,62,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
63,63,DOG,MED,4.0,Male,0,0,UNKNOWN,1,SANTA ROSA,0,0.0069242385,,
64,64,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
65,65,CAT,KITTEN,1.0,Male,1,1,HEALTHY,0,SONOMA COUNTY,0,0.062666826,,
66,66,DOG,MED,,Male,1,1,HEALTHY,0,SONOMA COUNTY,0,0.013261708,38.486997,-122.749134
67,67,DOG,SMALL,,Male,0,1,UNKNOWN,0,SANTA ROSA,0,0.012686619,,
68,68,DOG,SMALL,,Female,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,38.336423,-123.040451
69,69,CAT,KITTEN,1.0,Male,1,1,TREATABLE/REHAB,0,SANTA ROSA,0,0.019234523,,
70,70,DOG,LARGE,5.0,Male,1,0,UNKNOWN,0,SANTA ROSA,0,0.0069242385,39.338556,-120.180444
71,71,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
72,72,DOG,SMALL,3.0,Male,1,1,TREATABLE/REHAB,0,SONOMA COUNTY,0,0.039231442,38.403734,-122.736775
73,73,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
74,74,DOG,LARGE,8.0,Male,1,1,UNKNOWN,0,WINDSOR,0,0.03813922,37.280602,-121.955079
75,75,OTHER,MED,,Unknown,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,38.541541,-122.809202
76,76,DOG,MED,,Female,0,0,UNKNOWN,0,SONOMA COUNTY,0,0.0069242385,,
77,77,CAT,SMALL,4.0,Female,0,1,HEALTHY,0,SONOMA COUNTY,0,0.038314305,,
78,78,DOG,MED,22.0,Male,1,1,HEALTHY,0,SANTA ROSA,0,0.027509272,38.491884,-122.90672
79,79,DOG,MED,8.0,Female,1,1,HEALTHY,0,SONOMA COUNTY,0,0.06877125,38.618857,-122.861927
80,80,DOG,SMALL,,Female,1,1,UNKNOWN,0,SONOMA COUNTY,0,0.014657889,38.510032,-122.996796
81,81,CAT,SMALL,13.0,Unknown,0,0,UNTREATABLE,0,SONOMA COUNTY,0,0.0069242385,,
